RTE_NBR,BIN_START,BIN_END,AADT_WT,URBAN,CRASH_COUNT,CRASHRATE
2.0,0.0,3.0,45721.26666666667,1,84.0,167.78259737727436
2.0,3.0,6.0,21532.926666666666,1,16.0,67.85827292459109
2.0,6.0,9.0,18465.52,0,3.0,14.836982805776715
2.0,9.0,12.0,20518.046666666665,0,14.0,62.312891356392335
2.0,12.0,15.0,23263.183333333334,0,100.0,392.5696651428846
2.0,15.0,18.0,19811.97333333333,0,51.0,235.08684209356946
2.0,18.0,21.0,20112.253333333334,0,18.0,81.73304050988267
2.0,21.0,24.0,16554.693333333333,0,33.0,182.0449687261087
2.0,24.0,27.0,13072.68,0,22.0,153.68940569885626
2.0,27.0,30.0,10399.000000000002,0,21.0,184.4223693795636
2.0,30.0,33.0,6762.490000000001,0,10.0,135.04522877407877
2.0,33.0,36.0,6039.66,0,10.0,151.20751981608566
2.0,36.0,39.0,5297.0,0,5.0,86.20370106970172
2.0,39.0,42.0,5226.16,0,14.0,244.64211060996755
2.0,42.0,45.0,5010.673333333333,0,6.0,109.35560333463874
2.0,45.0,48.0,5146.0,0,12.0,212.95966011638245
2.0,48.0,51.0,4700.793333333333,0,8.0,155.41921448137182
2.0,51.0,54.0,4553.123333333334,0,5.0,100.28742275072935
2.0,54.0,57.0,4524.693333333333,0,7.0,141.28458202530723
2.0,57.0,60.0,5475.0,0,17.0,283.56372886303456
2.0,60.0,63.0,4799.780000000001,0,23.0,437.61518673867675
2.0,63.0,66.0,4032.146666666667,0,27.0,611.5237436776938
2.0,66.0,69.0,3226.4166666666665,0,14.0,396.27207049680135
2.0,69.0,72.0,3230.0,0,9.0,254.46371771491582
2.0,72.0,75.0,3752.483333333332,0,7.0,170.35902617183135
2.0,75.0,78.0,4087.2399999999993,0,12.0,268.12480083354643
2.0,78.0,81.0,3963.0833333333326,0,9.0,207.39352142965575
2.0,81.0,84.0,4018.853333333333,0,7.0,159.06761291596297
2.0,84.0,87.0,4620.4466666666685,0,4.0,79.06092852198299
2.0,87.0,90.0,4438.0,0,4.0,82.31113196326454
2.0,90.0,93.0,4438.0,0,7.0,144.04448093571295
2.0,93.0,96.0,4438.0,0,6.0,123.46669794489681
2.0,96.0,99.0,4480.166666666667,0,8.0,163.07286350342684
2.0,99.0,102.0,11196.956666666663,0,19.0,154.96709230974955
2.0,102.0,105.0,11753.086666666672,0,18.0,139.86416190569702
2.0,105.0,108.0,15082.093333333332,0,16.0,96.88225515634913
2.0,108.0,111.0,14957.710000000001,0,13.0,79.37141526825604
2.0,111.0,114.0,18685.82666666666,0,26.0,127.0711361130197
2.0,114.0,117.0,20007.843333333334,0,9.0,41.079780290455
2.0,117.0,120.0,19291.069999999992,1,17.0,80.47824281002116
2.0,120.0,123.0,12162.626666666663,0,13.0,97.61169559909865
2.0,123.0,126.0,7368.153333333333,0,11.0,136.33893929718195
2.0,126.0,129.0,6026.286666666667,0,6.0,90.92584468480624
2.0,129.0,132.0,5815.000000000001,0,5.0,78.52467834328633
2.0,132.0,135.0,3121.1933333333272,0,6.0,175.55631675474118
2.0,135.0,138.0,1941.0,0,3.0,141.15023325076046
2.0,138.0,141.0,1939.18,0,0.0,0.0
2.0,141.0,144.0,1658.02666666667,0,0.0,0.0
2.0,144.0,147.0,1111.3233333333344,0,5.0,410.8804259482326
2.0,147.0,150.0,817.0,0,2.0,223.55985535677357
2.0,150.0,153.0,817.0,0,0.0,0.0
2.0,153.0,156.0,796.5000000000001,0,0.0,0.0
2.0,156.0,159.0,774.1866666666668,0,0.0,0.0
2.0,159.0,162.0,762.2999999999998,0,0.0,0.0
2.0,162.0,165.0,728.8999999999997,0,1.0,125.29043889867202
2.0,165.0,168.0,654.0,0,0.0,0.0
2.0,168.0,171.0,655.6899999999999,0,0.0,0.0
2.0,171.0,174.0,693.0,0,0.0,0.0
2.0,174.0,177.0,693.0,0,0.0,0.0
2.0,177.0,180.0,861.3599999999983,0,0.0,0.0
2.0,180.0,183.0,2082.879999999995,0,1.0,43.845157144550924
2.0,183.0,186.0,2072.553333333335,0,3.0,132.19085768909483
2.0,186.0,189.0,1358.0,0,0.0,0.0
2.0,189.0,192.0,1358.0,0,0.0,0.0
2.0,192.0,195.0,1211.2299999999998,0,0.0,0.0
2.0,195.0,198.0,1130.0,0,0.0,0.0
2.0,198.0,201.0,1081.9333333333332,0,1.0,84.40834393361455
2.0,201.0,204.0,1269.6666666666667,0,0.0,0.0
2.0,204.0,207.0,1443.0,0,0.0,0.0
2.0,207.0,210.0,1443.0,0,1.0,63.28773452061123
2.0,210.0,213.0,1573.1000000000006,0,5.0,290.26826302600585
2.0,213.0,216.0,2990.826666666666,0,0.0,0.0
2.0,216.0,219.0,2587.0,0,2.0,70.60239730440047
2.0,219.0,222.0,2590.8,0,2.0,70.49884276149608
2.0,222.0,225.0,2907.0500000000006,0,2.0,62.82946692574397
2.0,225.0,228.0,2545.2266666666674,0,0.0,0.0
2.0,228.0,231.0,2316.0,0,0.0,0.0
2.0,231.0,234.0,2316.0,0,1.0,39.43186567929275
2.0,234.0,237.0,2316.0,0,4.0,157.727462717171
2.0,237.0,240.0,2316.0,0,0.0,0.0
2.0,240.0,243.0,3041.6266666666766,0,1.0,30.024789667340844
2.0,243.0,246.0,4800.000000000006,0,9.0,171.23287671232856
2.0,246.0,249.0,4630.0,0,0.0,0.0
2.0,249.0,252.0,4630.0,0,1.0,19.72444944130497
2.0,252.0,255.0,4880.04,0,2.0,37.42764440998107
