CASENO,RTE_NBR,MILEPOST,SEVERITY,ACCTYPE1,LIGHT,NUMVEHS,RDSURF,BEGMP,ENDMP
2002000001,501,1.14,1,28,6.0,2,1.0,1.02,1.14
2002000003,539,2.0,6,21,6.0,2,1.0,1.99,2.23
2002000006,99,51.5,1,13,4.0,2,2.0,51.45,51.5
2002000007,516,7.42,1,14,1.0,2,2.0,7.4,7.42
2002000012,18,8.94,7,11,6.0,2,2.0,8.73,9.25
2002000013,2,310.98,7,57,6.0,1,4.0,309.98,311.58
2002000014,16,4.03,1,11,4.0,2,2.0,3.82,4.13
2002000015,7,52.61,6,10,1.0,2,1.0,52.56,52.61
2002000016,5,134.61,1,11,3.0,5,1.0,134.35,134.61
2002000018,5,29.35,1,49,5.0,1,1.0,29.06,29.38
2002000019,5,21.21,6,50,6.0,1,2.0,21.11,21.39
2002000021,524,5.0,1,22,4.0,2,1.0,4.96,5.0
2002000022,99,44.68,1,14,1.0,2,1.0,44.67,44.7
2002000023,5,25.45,1,50,1.0,2,2.0,25.16,25.45
2002000024,5,83.84,1,51,6.0,1,1.0,83.43,85.08
2002000025,12,142.59,1,50,1.0,1,4.0,141.95,143.25
2002000027,90,49.87,7,50,6.0,1,4.0,49.7,50.05
2002000028,167,19.35,1,14,1.0,3,1.0,19.26,19.39
2002000030,524,4.29,1,22,4.0,2,1.0,4.25,4.29
2002000031,167,23.02,1,50,4.0,1,2.0,22.96,23.03
2002000032,405,29.68,7,14,1.0,3,1.0,29.63,29.69
2002000033,405,17.04,7,14,4.0,3,1.0,16.91,17.04
2002000034,99,50.83,6,10,4.0,3,2.0,50.75,50.83
2002000035,22,2.48,6,14,1.0,2,2.0,2.47,2.48
2002000038,2,136.16,6,50,1.0,1,3.0,135.97,136.78
2002000040,2,109.23,1,49,5.0,1,1.0,108.89,109.89
2002000042,527,11.46,1,10,1.0,2,2.0,11.45,11.46
2002000044,405,2.8,1,11,4.0,2,1.0,2.77,2.81
2002000047,99,41.43,1,21,4.0,2,1.0,41.33,41.43
2002000048,5,162.36,1,50,1.0,1,2.0,162.3,162.42
2002000049,99,41.43,1,14,4.0,2,1.0,41.33,41.43
2002000050,5,162.38,7,11,2.0,3,2.0,162.3,162.42
2002000053,5,171.2,6,50,4.0,1,1.0,171.06,171.23
2002000055,5,230.11,1,54,6.0,1,2.0,230.1,230.19
2002000058,395,220.4,1,49,1.0,1,1.0,220.33,220.4
2002000059,395,208.79,1,49,6.0,1,1.0,208.72,209.22
2002000060,529,1.2,6,10,1.0,2,2.0,1.18,1.2
2002000061,527,3.74,1,13,1.0,2,1.0,3.73,3.74
2002000064,527,11.34,1,22,4.0,3,2.0,11.33,11.39
2002000065,395,208.29,1,49,6.0,1,2.0,208.11,208.72
2002000066,395,216.48,1,49,6.0,1,2.0,215.79,216.6
2002000067,5,171.96,1,14,1.0,2,1.0,171.95,171.96
2002000069,395,216.6,1,49,6.0,1,2.0,215.79,216.6
2002000070,395,66.06,1,52,1.0,1,1.0,64.05,66.56
2002000071,525,3.73,1,14,3.0,2,2.0,3.72,3.73
2002000073,5,171.17,7,14,1.0,3,1.0,171.06,171.23
2002000074,97,235.91,7,49,2.0,1,2.0,235.53,236.46
2002000075,90,260.82,0,52,6.0,1,4.0,256.16,261.52
2002000076,304,2.9,1,30,1.0,2,2.0,2.88,2.9
2002000077,303,2.87,1,11,1.0,2,9.0,2.63,2.88
2002000078,99,15.45,6,50,4.0,1,1.0,15.44,15.45
2002000081,82,18.0,1,52,6.0,1,3.0,17.5,18.97
2002000083,90,90.27,1,50,1.0,1,3.0,88.97,91.58
2002000084,16,3.43,6,50,1.0,1,2.0,3.12,3.48
2002000087,7,48.84,1,11,4.0,2,2.0,48.82,48.88
2002000089,5,164.55,1,14,4.0,3,1.0,164.43,164.56
2002000092,2,135.46,7,51,6.0,1,2.0,135.14,135.9
2002000093,90,278.51,7,13,4.0,2,1.0,278.46,278.51
2002000094,405,24.46,7,13,6.0,2,1.0,24.32,24.48
2002000097,90,284.61,1,14,6.0,2,2.0,284.6,284.71
2002000098,304,1.71,1,11,1.0,3,1.0,1.67,1.71
2002000099,2,305.42,7,21,1.0,2,2.0,305.25,305.59
2002000104,516,1.94,1,28,4.0,3,2.0,1.93,1.94
2002000106,522,5.56,7,50,4.0,1,2.0,5.54,5.56
2002000107,2,297.72,1,49,6.0,1,1.0,297.29,297.75
2002000108,20,2.91,1,28,4.0,2,2.0,2.24,3.11
2002000109,520,11.25,1,13,1.0,2,2.0,11.24,11.34
2002000110,522,5.85,7,14,1.0,2,2.0,5.82,5.85
2002000111,2,271.84,7,30,6.0,2,4.0,271.73,272.03
2002000115,195,4.83,5,50,6.0,1,1.0,4.73,4.95
2002000116,5,114.57,1,51,2.0,1,2.0,114.36,114.58
2002000117,305,8.88,1,13,1.0,2,1.0,8.78,9.44
2002000118,97,37.09,1,50,6.0,1,2.0,36.09,37.48
2002000119,3,56.58,1,54,1.0,1,1.0,56.32,56.59
2002000121,526,3.49,1,11,1.0,2,1.0,3.41,3.51
2002000124,20,9.82,1,22,1.0,2,2.0,9.79,9.82
2002000126,5,137.96,7,14,6.0,2,1.0,137.78,137.97
2002000128,167,8.9,7,13,1.0,3,1.0,8.88,8.9
2002000131,5,162.32,7,14,1.0,2,2.0,162.3,162.42
2002000132,900,6.61,1,13,4.0,2,2.0,6.6,6.61
2002000133,5,177.4,1,50,1.0,1,2.0,177.34,177.48
2002000135,5,177.26,7,50,1.0,1,2.0,177.23,177.27
2002000136,90,284.71,1,14,6.0,2,1.0,284.6,284.71
2002000139,167,28.26,1,10,4.0,2,1.0,28.21,28.26
2002000140,527,8.37,1,14,1.0,3,1.0,8.25,8.37
2002000145,304,1.71,1,10,1.0,2,1.0,1.67,1.71
2002000147,303,2.67,1,21,1.0,2,1.0,2.63,2.88
2002000149,99,40.91,7,22,4.0,2,2.0,40.87,40.92
2002000151,104,28.04,7,11,4.0,2,1.0,27.97,28.04
2002000152,99,41.16,7,11,4.0,5,2.0,41.05,41.16
2002000153,167,11.93,1,14,1.0,2,1.0,11.71,11.94
2002000154,2,75.57,6,52,1.0,1,2.0,75.56,75.68
