RTE_NBR,BEGMP,ENDMP,AADT,NO_LANES,FUNC_CLS,urban
2,0.0,0.03,12089.0,2,12.0,1
2,0.03,0.04,12089.0,2,12.0,1
2,0.04,0.06,12089.0,2,12.0,1
2,0.06,0.08,12089.0,2,12.0,1
2,0.08,0.1,12089.0,2,12.0,1
2,0.1,0.14,12089.0,1,12.0,1
2,0.14,0.19,12089.0,1,12.0,1
2,0.19,0.22,12089.0,1,12.0,1
2,0.22,0.23,12089.0,3,12.0,1
2,0.23,0.26,12089.0,3,12.0,1
2,0.26,0.31,33014.0,3,12.0,1
2,0.31,0.36,33014.0,3,12.0,1
2,0.36,0.43,33014.0,3,12.0,1
2,0.43,0.46,33014.0,2,12.0,1
2,0.46,0.77,33014.0,2,12.0,1
2,0.77,0.88,62515.0,4,12.0,1
2,0.88,0.97,62515.0,4,12.0,1
2,0.97,1.08,62515.0,4,12.0,1
2,1.08,1.14,62515.0,4,12.0,1
2,1.14,1.23,62515.0,4,12.0,1
2,1.23,1.69,62515.0,4,12.0,1
2,1.69,2.03,62515.0,4,12.0,1
2,2.03,2.09,60811.0,4,12.0,1
2,2.09,2.21,60811.0,4,12.0,1
2,2.21,2.22,60811.0,4,12.0,1
2,2.22,2.3,60811.0,4,12.0,1
2,2.3,2.31,60811.0,4,12.0,1
2,2.31,2.32,60811.0,3,12.0,1
2,2.32,2.34,60811.0,3,12.0,1
2,2.34,2.44,60811.0,3,12.0,1
2,2.44,2.45,60811.0,3,12.0,1
2,2.45,2.48,22415.0,3,12.0,1
2,2.48,2.51,22415.0,3,12.0,1
2,2.51,2.62,22415.0,3,12.0,1
2,2.62,2.64,22415.0,3,12.0,1
2,2.64,2.71,22415.0,4,12.0,1
2,2.71,2.75,22415.0,4,12.0,1
2,2.75,2.76,24598.0,4,12.0,1
2,2.76,2.77,24598.0,4,12.0,1
2,2.77,2.87,24598.0,4,12.0,1
2,2.87,3.42,24598.0,4,12.0,1
2,3.42,3.54,24598.0,4,12.0,1
2,3.54,3.66,24598.0,4,12.0,1
2,3.66,3.83,24598.0,4,12.0,1
2,3.83,3.85,24598.0,3,12.0,1
2,3.85,3.86,24598.0,3,12.0,1
2,3.86,4.37,20775.0,3,12.0,1
2,4.37,4.4,20775.0,3,12.0,1
2,4.4,4.67,20775.0,3,12.0,1
2,4.67,4.75,20775.0,4,12.0,1
2,4.75,4.8,20775.0,4,12.0,1
2,4.8,4.97,20775.0,4,12.0,1
2,4.97,5.0,20775.0,4,12.0,1
2,5.0,5.02,20775.0,4,12.0,1
2,5.02,5.04,20775.0,3,12.0,1
2,5.04,5.14,20775.0,3,14.0,1
2,5.14,5.28,20775.0,3,14.0,1
2,5.28,5.35,20775.0,3,14.0,1
2,5.35,5.84,19215.0,3,14.0,1
2,5.84,6.37,19215.0,2,14.0,1
2,6.37,6.45,19215.0,2,14.0,1
2,6.45,6.53,19215.0,2,2.0,0
2,6.53,6.68,19215.0,2,2.0,0
2,6.68,7.82,19215.0,2,2.0,0
2,7.82,7.9,19215.0,2,2.0,0
2,7.9,7.96,19215.0,2,2.0,0
2,7.96,8.11,19215.0,2,2.0,0
2,8.11,8.18,19215.0,2,2.0,0
2,8.18,8.79,16473.0,2,2.0,0
2,8.79,8.8,16473.0,2,2.0,0
2,8.8,9.02,16473.0,2,2.0,0
2,9.02,9.29,16473.0,2,2.0,0
2,9.29,9.95,16473.0,2,2.0,0
2,9.95,9.96,16473.0,2,2.0,0
2,9.96,10.03,22945.0,2,2.0,0
2,10.03,10.3,22403.0,2,2.0,0
2,10.3,10.34,22403.0,2,2.0,0
2,10.34,10.4,22403.0,2,2.0,0
2,10.4,10.47,22403.0,2,2.0,0
2,10.47,10.5,22403.0,2,2.0,0
2,10.5,10.52,22403.0,2,2.0,0
2,10.52,11.36,22403.0,2,2.0,0
2,11.36,11.38,22403.0,2,2.0,0
2,11.38,11.63,22403.0,2,2.0,0
2,11.63,11.65,22403.0,2,2.0,0
2,11.65,12.65,22403.0,2,2.0,0
2,12.65,12.83,22403.0,2,2.0,0
2,12.83,12.9,20263.0,2,2.0,0
2,12.9,12.92,19474.0,2,2.0,0
2,12.92,13.19,19474.0,2,2.0,0
2,13.19,13.42,19474.0,2,2.0,0
2,13.42,13.54,19474.0,2,2.0,0
2,13.54,13.56,19474.0,2,2.0,0
2,13.56,13.81,19586.0,2,2.0,0
2,13.81,13.82,19586.0,2,2.0,0
2,13.82,13.84,19586.0,2,2.0,0
2,13.84,14.08,19586.0,2,2.0,0
2,14.08,14.22,19586.0,2,2.0,0
2,14.22,14.23,19586.0,3,2.0,0
2,14.23,14.32,23472.0,3,2.0,0
2,14.32,14.33,23472.0,3,2.0,0
2,14.33,14.39,33118.0,3,2.0,0
2,14.39,14.47,33118.0,4,2.0,0
2,14.47,14.52,33118.0,4,2.0,0
2,14.52,14.55,33118.0,4,2.0,0
2,14.55,14.59,33118.0,4,2.0,0
2,14.59,14.71,33118.0,4,2.0,0
2,14.71,14.77,33118.0,4,2.0,0
2,14.77,14.82,33118.0,4,2.0,0
2,14.82,14.87,31219.0,4,2.0,0
2,14.87,14.88,28194.0,4,2.0,0
2,14.88,14.92,28194.0,4,2.0,0
2,14.92,14.95,28194.0,4,2.0,0
2,14.95,14.98,28194.0,4,2.0,0
2,14.98,15.05,28194.0,4,2.0,0
2,15.05,15.1,28194.0,4,2.0,0
2,15.1,15.16,20410.0,4,2.0,0
2,15.16,15.17,20410.0,4,2.0,0
2,15.17,15.19,20410.0,4,2.0,0
2,15.19,15.22,17896.0,4,2.0,0
2,15.22,15.25,17896.0,2,2.0,0
2,15.25,15.32,17896.0,2,2.0,0
2,15.32,15.35,17896.0,2,2.0,0
2,15.35,15.59,17896.0,2,2.0,0
2,15.59,15.72,17896.0,2,2.0,0
2,15.72,16.07,17896.0,2,2.0,0
2,16.07,16.93,17896.0,2,2.0,0
2,16.93,17.85,22094.0,2,2.0,0
2,17.85,18.04,22094.0,2,2.0,0
2,18.04,18.62,22094.0,2,2.0,0
2,18.62,20.07,19596.0,2,2.0,0
2,20.07,21.34,19596.0,2,2.0,0
2,21.34,21.37,19596.0,2,2.0,0
