CASENO,VEHNO,DRV_AGE,CONTRIB1,VEHTYPE
2002039086,1,55.0,4.0,1
2002039087,1,23.0,23.0,1
2002039088,1,40.0,18.0,1
2002039089,1,36.0,16.0,2
2002039090,1,36.0,4.0,2
2002039091,1,46.0,4.0,2
2002039092,1,44.0,1.0,2
2002039093,1,42.0,11.0,1
2002039094,1,38.0,5.0,2
2002039095,1,30.0,5.0,1
2002039096,1,40.0,4.0,2
2002039097,1,17.0,5.0,2
2002039098,1,62.0,7.0,1
2002039099,1,39.0,4.0,1
2002039100,1,48.0,5.0,6
2002039101,1,47.0,4.0,2
2002039102,1,32.0,7.0,2
2002039103,1,54.0,10.0,1
2002039104,1,,4.0,2
2002039105,1,36.0,8.0,2
2002039106,1,23.0,5.0,1
2002039107,1,76.0,14.0,1
2002039108,1,51.0,7.0,1
2002039109,1,20.0,5.0,1
2002039110,1,55.0,5.0,6
2002039111,1,20.0,4.0,2
2002039112,1,40.0,4.0,2
2002039113,1,42.0,4.0,2
2002039114,1,58.0,5.0,6
2002039115,1,46.0,7.0,2
2002039116,1,25.0,4.0,2
2002039117,1,35.0,4.0,2
2002039118,1,28.0,4.0,2
2002039119,1,20.0,4.0,1
2002039120,1,21.0,4.0,2
2002039121,1,18.0,23.0,2
2002039122,1,49.0,4.0,2
2002039123,1,17.0,4.0,2
2002039124,1,19.0,4.0,2
2002039125,1,30.0,18.0,1
2002039126,1,23.0,4.0,1
2002039127,1,19.0,4.0,2
2002039128,1,55.0,4.0,1
2002039129,1,33.0,11.0,2
2002039130,1,18.0,23.0,1
2002039131,1,40.0,4.0,2
2002039132,1,42.0,7.0,2
2002039133,1,39.0,7.0,1
2002039134,1,20.0,5.0,1
2002039135,1,18.0,18.0,1
2002039136,1,39.0,4.0,1
2002039137,1,47.0,4.0,1
2002039138,1,40.0,4.0,1
2002039139,1,49.0,5.0,2
2002039140,1,23.0,23.0,1
2002039141,1,57.0,8.0,2
2002039142,1,30.0,7.0,1
2002039143,1,60.0,18.0,2
2002039144,1,26.0,4.0,1
2002039145,1,36.0,24.0,3
2002039146,1,50.0,18.0,1
2002039147,1,18.0,7.0,1
2002039148,1,39.0,18.0,2
2002039149,1,21.0,7.0,1
2002039150,1,49.0,18.0,1
2002039151,1,40.0,5.0,2
2002039152,1,15.0,18.0,1
2002039153,1,44.0,5.0,1
2002039154,1,59.0,4.0,6
2002039155,1,19.0,18.0,2
2002039156,1,51.0,4.0,1
2002039157,1,33.0,7.0,2
2002039158,1,39.0,4.0,1
2002039159,1,64.0,23.0,1
2002039160,1,29.0,4.0,2
2002039161,1,29.0,4.0,1
2002039162,1,18.0,4.0,1
2002039163,1,22.0,4.0,2
2002039164,1,42.0,1.0,2
2002039165,1,41.0,7.0,1
2002039166,1,17.0,4.0,2
2002039167,1,62.0,4.0,1
2002039168,1,35.0,18.0,2
2002039169,1,33.0,7.0,3
2002039170,1,21.0,7.0,1
2002039171,1,43.0,4.0,1
2002039172,1,25.0,4.0,2
2002039173,1,32.0,5.0,2
2002039174,1,22.0,18.0,2
2002039175,1,55.0,4.0,2
2002039176,1,35.0,18.0,1
2002039177,1,50.0,4.0,1
2002039178,1,35.0,4.0,2
2002039179,1,22.0,4.0,1
2002039180,1,24.0,4.0,1
2002039181,1,38.0,18.0,1
2002039182,1,45.0,4.0,2
2002039183,1,32.0,4.0,2
2002039184,1,31.0,18.0,6
2002039185,1,22.0,4.0,2
2002039186,1,21.0,4.0,1
2002039187,1,45.0,4.0,2
2002039188,1,32.0,4.0,2
2002039189,1,46.0,4.0,2
2002039190,1,19.0,23.0,2
2002039191,1,46.0,4.0,2
2002039192,1,53.0,4.0,2
2002039193,1,38.0,4.0,2
2002039194,1,26.0,4.0,1
2002039195,1,21.0,4.0,2
2002039196,1,30.0,4.0,2
2002039197,1,46.0,4.0,2
2002039198,1,16.0,4.0,2
2002039199,1,28.0,3.0,2
2002039200,1,28.0,4.0,1
2002039201,1,31.0,4.0,2
2002039202,1,29.0,4.0,1
2002039203,1,63.0,4.0,2
2002039204,1,28.0,16.0,1
2002039205,1,18.0,4.0,1
2002039206,1,45.0,4.0,2
2002039207,1,26.0,4.0,2
2002039208,1,17.0,4.0,2
2002039209,1,21.0,4.0,1
2002039210,1,21.0,4.0,2
2002039211,1,45.0,16.0,2
2002039212,1,20.0,3.0,2
2002039213,1,18.0,3.0,1
2002039214,1,51.0,11.0,1
2002039215,1,48.0,4.0,2
2002039216,1,23.0,7.0,1
2002039217,1,59.0,23.0,1
2002039218,1,21.0,23.0,1
2002039219,1,35.0,11.0,1
2002039220,1,,16.0,2
2002039221,1,,23.0,6
2002039222,1,65.0,23.0,14
2002039223,1,24.0,20.0,1
2002039224,1,,5.0,2
2002039225,1,50.0,11.0,1
2002039226,1,67.0,11.0,1
2002039227,1,18.0,11.0,1
2002039228,1,37.0,5.0,2
2002039229,1,32.0,18.0,2
2002039230,1,19.0,5.0,2
2002039231,1,18.0,5.0,1
2002039232,1,33.0,7.0,2
2002039233,1,34.0,7.0,1
2002039234,1,44.0,5.0,1
2002039235,1,33.0,7.0,2
2002039236,1,23.0,23.0,2
2002039237,1,34.0,23.0,1
2002039238,1,16.0,23.0,1
2002039239,1,37.0,4.0,2
2002039240,1,34.0,18.0,2
2002039241,1,45.0,4.0,1
2002039242,1,27.0,18.0,3
2002039243,1,22.0,7.0,1
2002039244,1,51.0,7.0,2
2002039245,1,60.0,4.0,2
2002039246,1,23.0,4.0,1
2002039247,1,16.0,7.0,1
2002039248,1,58.0,5.0,1
2002039249,1,43.0,4.0,2
2002039250,1,71.0,11.0,1
2002039251,1,83.0,4.0,2
2002039252,1,44.0,23.0,10
2002039253,1,16.0,23.0,1
2002039254,1,51.0,11.0,1
2002039255,1,40.0,7.0,1
2002039256,1,48.0,4.0,2
2002039257,1,36.0,4.0,1
2002039258,1,39.0,18.0,1
2002039259,1,27.0,4.0,1
2002039260,1,48.0,4.0,2
2002039261,1,37.0,4.0,1
2002039262,1,49.0,4.0,2
2002039263,1,44.0,4.0,2
2002039264,1,22.0,4.0,1
2002039265,1,45.0,4.0,1
2002039266,1,25.0,4.0,2
2002039267,1,22.0,7.0,1
2002039268,1,18.0,4.0,2
2002039269,1,27.0,4.0,1
2002039270,1,37.0,5.0,1
2002039271,1,30.0,4.0,2
2002039272,1,30.0,4.0,1
2002039273,1,23.0,7.0,2
2002039274,1,25.0,18.0,2
2002039275,1,31.0,7.0,2
2002039276,1,32.0,23.0,2
2002039277,1,22.0,18.0,1
2002039278,1,78.0,4.0,1
2002039279,1,20.0,7.0,2
2002039280,1,23.0,1.0,1
2002039281,1,57.0,4.0,2
2002039282,1,,7.0,2
2002039283,1,32.0,16.0,1
2002039284,1,37.0,4.0,2
2002039285,1,28.0,4.0,1
2002039286,1,23.0,4.0,1
2002039287,1,50.0,4.0,1
2002039288,1,,17.0,1
2002039289,1,41.0,7.0,1
2002039290,1,60.0,23.0,1
2002039291,1,54.0,4.0,2
2002039292,1,40.0,11.0,1
2002039293,1,85.0,4.0,1
2002039294,1,25.0,4.0,1
2002039295,1,30.0,1.0,2
2002039296,1,34.0,1.0,2
2002039297,1,21.0,5.0,2
2002039298,1,49.0,4.0,1
2002039300,1,45.0,7.0,1
2002039301,1,25.0,11.0,1
2002039302,1,45.0,7.0,1
2002039303,1,23.0,5.0,2
2002039304,1,72.0,5.0,2
2002039305,1,16.0,5.0,1
2002039306,1,34.0,7.0,1
2002039307,1,71.0,5.0,3
2002039308,1,71.0,5.0,3
2002039309,1,85.0,7.0,1
2002039310,1,19.0,4.0,2
2002039311,1,48.0,7.0,2
2002039312,1,18.0,5.0,2
2002039313,1,77.0,4.0,2
2002039314,1,19.0,7.0,2
2002039315,1,38.0,4.0,2
2002039316,1,24.0,4.0,2
2002039317,1,39.0,4.0,2
2002039318,1,77.0,6.0,1
2002039319,1,48.0,4.0,2
2002039320,1,31.0,5.0,2
2002039321,1,22.0,7.0,1
2002039322,1,24.0,4.0,1
2002039323,1,19.0,5.0,2
2002039324,1,20.0,4.0,1
2002039325,1,27.0,4.0,1
2002039326,1,31.0,7.0,2
2002039327,1,65.0,5.0,2
2002039328,1,,4.0,2
2002039329,1,19.0,4.0,1
2002039330,1,42.0,4.0,2
2002039331,1,45.0,4.0,1
2002039332,1,24.0,6.0,2
2002039333,1,18.0,4.0,2
2002039334,1,19.0,7.0,1
2002039335,1,30.0,4.0,1
2002039336,1,47.0,4.0,2
2002039337,1,17.0,4.0,2
2002039338,1,40.0,18.0,2
2002039339,1,73.0,5.0,1
2002039340,1,28.0,4.0,2
2002039341,1,60.0,16.0,2
2002039342,1,19.0,5.0,1
2002039343,1,38.0,5.0,1
2002039344,1,27.0,4.0,12
2002039345,1,55.0,4.0,2
2002039346,1,27.0,18.0,1
2002039347,1,42.0,4.0,1
2002039348,1,58.0,4.0,1
2002039349,1,74.0,4.0,2
2002039350,1,25.0,18.0,1
2002039351,1,23.0,4.0,1
2002039352,1,21.0,18.0,2
2002039353,1,19.0,18.0,2
2002039354,1,34.0,4.0,1
2002039355,1,19.0,23.0,1
2002039356,1,50.0,4.0,2
2002039357,1,33.0,5.0,2
2002039358,1,30.0,18.0,2
2002039359,1,43.0,18.0,2
2002039360,1,19.0,14.0,1
2002039361,1,60.0,4.0,1
2002039362,1,79.0,7.0,1
2002039363,1,27.0,4.0,2
2002039364,1,44.0,18.0,1
2002039365,1,20.0,4.0,2
2002039366,1,36.0,7.0,2
2002039367,1,42.0,7.0,2
2002039368,1,20.0,4.0,1
2002039369,1,50.0,4.0,2
2002039370,1,30.0,16.0,2
2002039371,1,42.0,4.0,2
2002039372,1,38.0,7.0,1
2002039373,1,18.0,7.0,1
2002039374,1,84.0,4.0,1
2002039375,1,24.0,4.0,1
2002039376,1,34.0,18.0,2
2002039377,1,30.0,2.0,2
2002039378,1,41.0,18.0,1
2002039379,1,22.0,4.0,2
2002039380,1,81.0,7.0,1
2002039381,1,21.0,4.0,1
2002039382,1,34.0,3.0,1
2002039383,1,18.0,16.0,1
2002039384,1,47.0,5.0,2
2002039385,1,32.0,7.0,1
2002039386,1,23.0,1.0,1
2002039387,1,50.0,4.0,2
2002039388,1,41.0,4.0,1
2002039389,1,29.0,4.0,2
2002039390,1,44.0,18.0,1
2002039391,1,50.0,12.0,1
2002039392,1,32.0,4.0,1
2002039393,1,38.0,1.0,2
2002039394,1,18.0,4.0,1
2002039395,1,,16.0,1
2002039396,1,46.0,18.0,2
2002039397,1,24.0,5.0,1
2002039398,1,42.0,7.0,1
2002039399,1,39.0,18.0,2
2002039400,1,45.0,5.0,1
2002039401,1,16.0,5.0,2
2002039402,1,18.0,4.0,1
2002039403,1,21.0,4.0,1
2002039404,1,19.0,4.0,1
2002039405,1,,4.0,1
2002039406,1,28.0,5.0,7
2002039407,1,48.0,1.0,2
2002039408,1,33.0,7.0,1
2002039409,1,16.0,18.0,2
2002039410,1,19.0,4.0,1
2002039411,1,,4.0,0
2002039412,1,19.0,5.0,1
2002039413,1,21.0,6.0,2
2002039414,1,40.0,5.0,1
2002039415,1,35.0,4.0,2
2002039416,1,20.0,23.0,1
2002039417,1,,11.0,0
2002039418,1,34.0,7.0,1
2002039419,1,23.0,4.0,1
2002039420,1,24.0,7.0,2
2002039421,1,58.0,7.0,1
2002039422,1,50.0,1.0,2
2002039423,1,53.0,18.0,2
2002039424,1,16.0,8.0,1
2002039425,1,22.0,5.0,1
2002039426,1,36.0,16.0,1
2002039427,1,40.0,14.0,1
2002039428,1,37.0,18.0,1
2002039429,1,25.0,4.0,1
2002039430,1,43.0,18.0,1
2002039431,1,16.0,23.0,1
2002039432,1,36.0,16.0,2
2002039433,1,41.0,18.0,1
2002039434,1,77.0,4.0,2
2002039435,1,23.0,18.0,1
2002039436,1,19.0,18.0,2
2002039437,1,19.0,4.0,1
2002039438,1,62.0,23.0,2
2002039439,1,17.0,4.0,2
2002039440,1,57.0,4.0,2
2002039441,1,60.0,16.0,2
2002039442,1,28.0,5.0,2
2002039443,1,24.0,5.0,3
2002039444,1,45.0,23.0,1
2002039445,1,36.0,5.0,6
2002039446,1,47.0,2.0,2
2002039447,1,21.0,4.0,1
2002039448,1,42.0,7.0,1
2002039449,1,39.0,7.0,1
2002039450,1,71.0,4.0,1
2002039451,1,22.0,23.0,1
2002039452,1,40.0,4.0,2
2002039453,1,31.0,14.0,1
2002039454,1,41.0,12.0,1
2002039455,1,19.0,3.0,1
2002039456,1,41.0,4.0,1
2002039457,1,23.0,1.0,2
2002039458,1,68.0,5.0,2
2002039459,1,57.0,7.0,1
2002039460,1,73.0,18.0,2
2002039461,1,22.0,4.0,2
2002039462,1,48.0,4.0,2
2002039463,1,36.0,8.0,1
2002039464,1,60.0,8.0,2
2002039465,1,40.0,6.0,1
2002039466,1,43.0,4.0,2
2002039467,1,33.0,4.0,2
2002039468,1,41.0,1.0,1
2002039469,1,28.0,1.0,1
2002039470,1,59.0,5.0,1
2002039471,1,27.0,4.0,1
2002039472,1,18.0,4.0,2
2002039473,1,26.0,18.0,2
2002039474,1,78.0,4.0,1
2002039475,1,28.0,4.0,1
2002039476,1,38.0,18.0,2
2002039477,1,29.0,8.0,2
2002039478,1,24.0,5.0,2
2002039479,1,44.0,1.0,1
2002039480,1,,4.0,2
2002039481,1,41.0,16.0,3
2002039482,1,67.0,6.0,2
2002039483,1,24.0,4.0,2
2002039484,1,78.0,18.0,2
2002039485,1,22.0,4.0,1
2002039486,1,,4.0,1
2002039487,1,18.0,7.0,1
2002039488,1,35.0,7.0,2
2002039489,1,31.0,4.0,2
2002039490,1,18.0,7.0,2
2002039491,1,48.0,18.0,1
2002039492,1,23.0,4.0,2
2002039493,1,18.0,5.0,2
2002039494,1,62.0,7.0,3
2002039495,1,44.0,4.0,2
2002039496,1,29.0,4.0,2
2002039497,1,34.0,18.0,6
2002039498,1,39.0,4.0,2
2002039499,1,51.0,23.0,1
2002039500,1,51.0,3.0,1
2002039501,1,25.0,16.0,2
2002039502,1,27.0,4.0,1
2002039503,1,27.0,4.0,2
2002039504,1,40.0,5.0,2
2002039505,1,30.0,7.0,1
2002039506,1,31.0,4.0,3
2002039507,1,48.0,4.0,2
2002039508,1,36.0,31.0,2
2002039509,1,52.0,7.0,2
2002039510,1,41.0,4.0,1
2002039511,1,29.0,4.0,1
2002039512,1,51.0,4.0,2
2002039513,1,19.0,5.0,1
2002039514,1,28.0,18.0,2
2002039515,1,18.0,4.0,2
2002039516,1,40.0,4.0,2
2002039517,1,33.0,7.0,1
2002039518,1,16.0,12.0,1
2002039519,1,46.0,5.0,2
2002039520,1,79.0,4.0,2
2002039521,1,52.0,18.0,2
2002039522,1,27.0,4.0,1
2002039523,1,51.0,8.0,2
2002039524,1,37.0,4.0,1
2002039525,1,24.0,4.0,1
2002039526,1,52.0,1.0,1
2002039527,1,18.0,4.0,1
2002039528,1,51.0,12.0,1
2002039529,1,94.0,22.0,1
2002039530,1,32.0,18.0,4
2002039531,1,27.0,4.0,6
2002039532,1,50.0,11.0,2
2002039533,1,57.0,7.0,2
2002039534,1,24.0,4.0,1
